id,x,y,z,yaw,pitch,roll
1,-284.901,226.172,-12.5675,2.4506,0.0149885,0.036317
2,-285.119,226.368,-12.5769,2.45045,0.0140208,0.0365887
3,-285.361,226.573,-12.5774,2.45078,0.0135923,0.0342712
4,-285.583,226.771,-12.5825,2.45148,0.0126681,0.0327204
5,-285.801,226.961,-12.594,2.45262,0.0117749,0.031007
6,-286.015,227.151,-12.5995,2.45264,0.0113205,0.0304405
7,-286.229,227.338,-12.599,2.45242,0.0108574,0.0308841
8,-286.435,227.521,-12.5936,2.45292,0.0101138,0.0307033
9,-286.641,227.699,-12.597,2.45375,0.00853629,0.0308615
10,-286.846,227.88,-12.6013,2.45341,0.00724891,0.0314479
11,-287.06,228.058,-12.6009,2.45361,0.00221953,0.0338059
12,-287.253,228.224,-12.6054,2.45388,-0.002007,0.0355652
13,-287.442,228.395,-12.6223,2.4533,-0.00431769,0.037831
14,-287.626,228.551,-12.633,2.45293,-0.00338099,0.0391713
15,-287.809,228.71,-12.6382,2.45344,-0.00147993,0.0394789
16,-287.99,228.866,-12.6381,2.45364,-0.000331396,0.039852
17,-288.164,229.017,-12.6469,2.45413,-0.000473917,0.040961
18,-288.342,229.168,-12.6626,2.45473,0.00180946,0.0414981
19,-288.511,229.311,-12.6667,2.45572,0.00525643,0.0411573
20,-288.671,229.452,-12.6637,2.45574,0.00667163,0.0388307
21,-288.832,229.594,-12.6613,2.4559,0.00669893,0.0361759
22,-288.99,229.733,-12.6649,2.45644,0.00613839,0.0360953
23,-289.143,229.866,-12.6751,2.45634,0.00698871,0.037628
24,-289.288,229.99,-12.6843,2.45626,0.0100341,0.0391304
25,-289.435,230.117,-12.6868,2.45674,0.0130212,0.040301
26,-289.585,230.24,-12.6862,2.45797,0.0148648,0.0425411
27,-289.726,230.372,-12.6838,2.45821,0.0152008,0.0436702
28,-289.868,230.486,-12.6808,2.45716,0.0144038,0.0437472
29,-290.013,230.617,-12.6804,2.45797,0.0120602,0.0437551
30,-290.144,230.738,-12.687,2.45909,0.0100012,0.0428113
31,-290.279,230.854,-12.687,2.45917,0.0088875,0.0420459
32,-290.415,230.969,-12.6788,2.46008,0.00617703,0.0409876
33,-290.541,231.084,-12.6853,2.45988,0.00195962,0.0424882
34,-290.676,231.189,-12.6805,2.45926,-0.000485704,0.0420372
35,-290.803,231.305,-12.6431,2.45879,-0.00710736,0.039937
36,-290.923,231.411,-12.6392,2.45849,-0.0142596,0.0406175
37,-291.057,231.525,-12.6849,2.45842,-0.0147395,0.0394203
38,-291.184,231.631,-12.7208,2.45902,-0.00849747,0.0404814
39,-291.307,231.728,-12.7487,2.45918,0.000471697,0.041089
40,-291.421,231.826,-12.7277,2.46046,0.00552522,0.0419217
41,-291.533,231.935,-12.7141,2.45999,0.00279529,0.0430339
42,-291.663,232.052,-12.7207,2.45875,-0.000233542,0.0466844
43,-291.794,232.158,-12.7379,2.458,-0.00012817,0.0521776
44,-291.927,232.261,-12.741,2.4577,0.00233289,0.0558711
45,-292.049,232.363,-12.7434,2.45852,0.00457811,0.0548694
46,-292.164,232.48,-12.7408,2.45878,0.00714376,0.0501705
47,-292.269,232.574,-12.7373,2.45971,0.00791281,0.045628
48,-292.391,232.681,-12.7356,2.46013,0.00602066,0.0448636
49,-292.514,232.787,-12.7437,2.45957,0.0044897,0.0469077
50,-292.623,232.874,-12.7553,2.45917,0.00571452,0.0491596
51,-292.736,232.965,-12.7597,2.45964,0.00773784,0.0521169
52,-292.864,233.07,-12.7651,2.4596,0.00773003,0.0523525
53,-292.991,233.177,-12.7692,2.45839,0.00833067,0.05186
54,-293.115,233.283,-12.7802,2.45958,0.0114729,0.0521297
55,-293.235,233.388,-12.7701,2.46093,0.0132341,0.0515055
56,-293.368,233.511,-12.7507,2.45973,0.00936629,0.0483939
57,-293.493,233.628,-12.7525,2.45954,0.00133105,0.0446826
58,-293.628,233.748,-12.7724,2.45963,-0.000544307,0.0430504
59,-293.763,233.855,-12.7772,2.46241,0.000235744,0.0446835
60,-293.899,233.969,-12.7692,2.46311,-0.000698272,0.048101
61,-294.025,234.083,-12.7713,2.46283,-0.0036609,0.0504084
62,-294.163,234.192,-12.7911,2.46156,-0.00548036,0.0521586
63,-294.295,234.313,-12.7952,2.46044,-0.00468866,0.0535307
64,-294.429,234.429,-12.7928,2.46088,-0.00422787,0.0543596
65,-294.555,234.54,-12.798,2.46023,-0.00362569,0.0545736
66,-294.687,234.669,-12.7984,2.45919,-0.00234996,0.0507992
67,-294.816,234.789,-12.797,2.45947,-0.00244341,0.0491809
68,-294.946,234.905,-12.8003,2.45976,-0.00247284,0.0492435
69,-295.083,235.018,-12.7986,2.45951,-0.00259798,0.0489333
70,-295.218,235.13,-12.8022,2.46001,-0.00268628,0.0493591
71,-295.34,235.237,-12.8027,2.46009,-0.00218866,0.0496406
72,-295.47,235.348,-12.7991,2.46023,-0.00254122,0.0501079
73,-295.611,235.467,-12.8077,2.45889,-0.00332313,0.0500651
74,-295.746,235.589,-12.809,2.45813,-0.00372714,0.0502161
75,-295.876,235.696,-12.8114,2.45867,-0.00375659,0.0503524
76,-296.001,235.802,-12.8146,2.45884,-0.00340931,0.0502567
77,-296.145,235.929,-12.8144,2.45882,-0.00272034,0.0481334
