id,x,y,z,yaw,pitch,roll
1,1772.58,866.309,0,0.0262919,0.00829776,-0.0270507
2,1772.77,866.308,0,0.0278868,0.00741617,-0.0243814
3,1773.11,866.382,0,0.0279045,0.00372711,-0.00448876
4,1773.41,866.385,0,0.0285245,0.00326013,-0.00594455
5,1773.91,866.394,0,0.0285868,0.00212509,-0.0079407
6,1774.23,866.419,0,0.0279541,0.00104966,-0.00694354
7,1774.65,866.439,0,0.0282318,-0.00570244,0.000870352
8,1775,866.449,0,0.0272292,-0.00509461,0.00288874
9,1775.47,866.436,0,0.0284909,-0.00607391,-0.00198449
10,1775.86,866.442,0,0.0278403,-0.00541031,-0.00194972
11,1776.23,866.449,0,0.0268725,-0.00498866,-0.00195899
12,1776.67,866.463,0,0.0278847,-0.00641559,-0.00039685
13,1777.26,866.467,0,0.0281256,-0.00732136,-0.00500418
14,1777.65,866.488,0,0.0271364,-0.00605624,-0.00570245
15,1777.87,866.472,0,0.0279981,-0.00586894,-0.00585828
16,1778.19,866.471,0,0.0245766,-0.00439641,-0.0113977
17,1778.87,866.472,0,0.0282648,-0.00596803,-0.00688716
18,1779.34,866.499,0,0.0285797,-0.00805235,-0.0030516
19,1779.73,866.508,0,0.0291987,-0.00809103,-0.00260199
20,1780.2,866.489,0,0.0293502,-0.00522868,-0.013678
21,1780.58,866.526,0,0.0285983,-0.00477067,-0.00724336
22,1780.98,866.517,0,0.0264423,-0.00353978,-0.0091389
23,1781.41,866.469,0,0.0278015,-0.00459125,-0.0270181
24,1781.5,866.439,0,0.0241224,-0.00333826,-0.0367197
25,1781.91,866.429,0,0.0234566,-0.00379957,-0.0441463
26,1782.28,866.424,0,0.0220701,-0.0052498,-0.0531082
27,1782.62,866.425,0,0.0216618,-0.00605148,-0.0580896
28,1783.06,866.43,0,0.021649,-0.00653984,-0.0574339
29,1783.58,866.415,0,0.0246887,-0.00551492,-0.0619139
30,1784.07,866.426,0,0.0252616,-0.00518325,-0.0603656
31,1784.47,866.426,0,0.0267682,-0.00291474,-0.0677701
32,1784.9,866.431,0,0.0277261,-0.00286932,-0.0681287
33,1785.29,866.429,0,0.0287894,-0.00213268,-0.0718315
34,1785.82,866.448,0,0.029126,0.000230418,-0.0666321
35,1786.16,866.475,0,0.0279176,-0.00016502,-0.0618588
36,1786.61,866.476,0,0.0279056,-0.00202026,-0.0652103
37,1787.02,866.494,0,0.0281811,-0.00208363,-0.0622058
38,1787.47,866.508,0,0.027885,-0.00314412,-0.0596103
39,1787.95,866.521,0,0.0284503,-0.0047302,-0.0609716
40,1788.45,866.679,0,0.0295304,-0.00481203,-0.0167058
41,1788.81,866.692,0,0.0296656,-0.00503809,-0.0167888
42,1789.47,866.603,0,0.0296159,-0.00310617,-0.0495217
43,1789.86,866.608,0,0.0301243,-0.00297032,-0.0485622
44,1790.33,866.603,0,0.0299831,-0.00291934,-0.0495106
45,1790.62,866.6,0,0.0316322,-0.00386915,-0.0540454
46,1791.01,866.638,0,0.0318432,-0.0041552,-0.0479478
47,1791.35,866.802,0,0.0325833,-0.00622448,-0.00650496
48,1791.65,866.779,0,0.0309689,-0.00569152,-0.0102337
49,1792.1,866.715,0,0.0287221,-0.00515161,-0.0130141
50,1792.5,866.72,0,0.0294045,-0.00379564,-0.00986067
51,1792.99,866.708,0,0.0290823,-0.00280179,-0.0154659
52,1793.41,866.714,0,0.0293174,-0.00330996,-0.0130715
53,1793.79,866.747,0,0.0307961,-0.00366607,-0.0100322
54,1794.24,866.795,0,0.032158,-0.000963468,-0.00680149
55,1794.66,866.805,0,0.0331754,-0.00112041,-0.00551097
56,1795.14,866.82,0,0.0332532,-0.000861147,-0.00414787
57,1795.49,866.85,0,0.0333169,-0.000186511,0.00262766
58,1795.93,866.867,0,0.0333725,-0.000631479,0.00350122
59,1796.26,866.865,0,0.0340671,-0.00132482,0.00317094
60,1796.63,866.876,0,0.0343614,-0.00186013,0.00367458
61,1797.24,866.884,0,0.0344774,-0.00280222,0.0047459
62,1797.48,866.906,0,0.03539,-0.00238146,0.0101402
63,1797.91,866.89,0,0.035909,-0.00160197,0.00606807
64,1798.38,866.927,0,0.0357164,-0.00237405,0.0121355
65,1798.76,866.931,0,0.0375843,-0.00202512,0.0102644
66,1799.6,866.915,0,0.0363664,-0.00321006,0.00236044
67,1800.01,866.929,0,0.0371378,-0.00274787,0.00213824
68,1800.32,866.946,0,0.037628,-0.00320358,0.00288152
69,1800.67,866.962,0,0.0369504,-0.00522188,0.00548992
70,1801.06,867.003,0,0.0374199,-0.00343122,0.0121171
71,1801.56,867.014,0,0.0370037,-0.00294795,0.0105442
72,1802.1,867,0,0.0381584,-0.00268944,-0.0087441
73,1802.36,867.004,0,0.0379114,-0.00260989,-0.0132134
74,1802.72,867.021,0,0.0375565,-0.000363996,-0.0193899
75,1803.16,867.024,0,0.0375186,-0.000616995,-0.0191954
76,1803.57,867.018,0,0.03771,0.000484766,-0.0257303
77,1803.86,867.021,0,0.0396995,-0.000621632,-0.0244624
78,1804.27,867.023,0,0.041157,-0.00240631,-0.0244925
79,1804.69,867.035,0,0.0423095,-0.00332465,-0.0263399
80,1805.12,867.042,0,0.0425781,-0.00465022,-0.0247626
81,1805.54,867.045,0,0.0431959,-0.00620499,-0.0248299
82,1805.95,867.045,0,0.0441942,-0.0070932,-0.0256853
83,1806.39,867.041,0,0.0447669,-0.00768461,-0.031139
84,1806.8,867.065,0,0.0448727,-0.00686608,-0.0256946
85,1807.22,867.188,0,0.0437305,-0.00746833,0.00391023
86,1807.58,867.204,0,0.0451525,-0.00813009,0.00845618
87,1807.92,867.238,0,0.0419692,-0.010524,0.0112889
88,1808.34,867.257,0,0.0430628,-0.0112659,0.0107538
89,1808.78,867.288,0,0.042717,-0.0124676,0.0131498
90,1809.2,867.301,0,0.0432913,-0.0128046,0.0116277
